DATE,Rf
2/28/64,0.2636
3/31/64,0.3298
4/30/64,0.2904
5/28/64,0.257
6/30/64,0.3136
7/31/64,0.2808
8/31/64,0.2772
9/30/64,0.2686
10/30/64,0.2997
11/30/64,0.2915
12/31/64,0.304
1/29/65,0.2915
2/26/65,0.3198
3/31/65,0.3486
4/30/65,0.3118
5/28/65,0.3283
6/30/65,0.338
7/30/65,0.3218
8/31/65,0.3309
9/30/65,0.3114
10/29/65,0.3391
11/30/65,0.338
12/31/65,0.3126
1/31/66,0.363
2/28/66,0.3481
3/31/66,0.3795
4/29/66,0.3638
5/31/66,0.4043
6/30/66,0.3672
7/29/66,0.3847
8/31/66,0.4119
9/30/66,0.389
10/31/66,0.4389
11/30/66,0.3932
12/30/66,0.363
1/31/67,0.3927
2/28/67,0.3743
3/31/67,0.3693
4/28/67,0.3344
5/31/67,0.3126
6/30/67,0.2674
7/31/67,0.3153
8/31/67,0.324
9/29/67,0.3177
10/31/67,0.3649
11/30/67,0.3416
12/29/67,0.3565
1/31/68,0.3934
2/29/68,0.3849
3/29/68,0.3977
4/30/68,0.4263
5/31/68,0.4672
6/28/68,0.4436
7/30/68,0.479
8/30/68,0.4476
9/30/68,0.4203
10/31/68,0.4394
11/29/68,0.4457
12/31/68,0.4249
1/31/69,0.5025
2/28/69,0.4619
3/28/69,0.4802
4/30/69,0.4859
5/29/69,0.5215
6/30/69,0.5137
7/31/69,0.552
8/29/69,0.589
9/30/69,0.5856
10/31/69,0.5724
11/28/69,0.5509
12/31/69,0.5846
1/30/70,0.5781
2/27/70,0.6167
3/31/70,0.5542
4/30/70,0.5286
5/29/70,0.5546
6/30/70,0.5546
7/31/70,0.4886
8/31/70,0.502
9/30/70,0.5034
10/30/70,0.4954
11/30/70,0.4489
12/31/70,0.3786
1/29/71,0.3777
2/26/71,0.3344
3/31/71,0.2924
4/30/71,0.2804
5/28/71,0.3127
6/30/71,0.3505
7/30/71,0.4272
8/31/71,0.4446
9/30/71,0.363
10/29/71,0.3855
11/30/71,0.3506
12/31/71,0.3152
1/31/72,0.285
2/29/72,0.2659
3/30/72,0.259
4/28/72,0.2962
5/31/72,0.2942
6/30/72,0.28
7/31/72,0.3084
8/31/72,0.2988
9/29/72,0.3546
10/31/72,0.3891
11/30/72,0.3739
12/29/72,0.4185
1/31/73,0.441
2/28/73,0.4277
3/30/73,0.475
4/30/73,0.5002
5/31/73,0.5098
6/29/73,0.5379
7/31/73,0.654
8/31/73,0.6855
9/28/73,0.6749
10/31/73,0.6856
11/30/73,0.5529
12/31/73,0.6961
1/31/74,0.6274
2/28/74,0.5819
3/29/74,0.5677
4/30/74,0.7949
5/31/74,0.7235
6/28/74,0.6892
7/31/74,0.6756
8/30/74,0.594
9/30/74,0.7997
10/31/74,0.5254
11/29/74,0.5139
12/31/74,0.7009
1/31/75,0.5387
2/28/75,0.4326
3/31/75,0.4014
4/30/75,0.4489
5/30/75,0.4869
6/30/75,0.4133
7/31/75,0.4811
8/29/75,0.4815
9/30/75,0.5575
10/31/75,0.5185
11/28/75,0.4127
12/31/75,0.4983
1/30/76,0.4402
2/27/76,0.3452
3/31/76,0.4344
4/30/76,0.444
5/28/76,0.4124
6/30/76,0.4446
7/30/76,0.439
8/31/76,0.4745
9/30/76,0.3924
10/29/76,0.4092
11/30/76,0.444
12/31/76,0.3579
1/31/77,0.3594
2/28/77,0.3499
3/31/77,0.3769
4/29/77,0.4114
5/31/77,0.3855
6/30/77,0.3716
7/29/77,0.3873
8/31/77,0.4993
9/30/77,0.433
10/31/77,0.4943
11/30/77,0.4959
12/30/77,0.47
1/31/78,0.5374
2/28/78,0.4941
3/31/78,0.5017
4/28/78,0.5712
5/31/78,0.5317
6/30/78,0.5369
7/31/78,0.5591
8/31/78,0.555
9/29/78,0.5964
10/31/78,0.7498
11/30/78,0.7041
12/29/78,0.7372
1/31/79,0.7882
2/28/79,0.7324
3/30/79,0.8928
4/30/79,0.8489
5/31/79,0.8161
6/29/79,0.7858
7/31/79,0.841
8/31/79,0.7506
9/28/79,0.7732
10/31/79,0.9621
11/30/79,0.9878
12/31/79,1.0209
1/31/80,0.7968
2/29/80,1.0654
3/31/80,1.2009
4/30/80,1.2865
5/30/80,0.7883
6/30/80,0.6312
7/31/80,0.5281
8/29/80,0.5973
9/30/80,0.8698
10/31/80,0.8912
11/28/80,0.8895
12/31/80,1.4149
1/30/81,0.9957
2/27/81,1.0685
3/31/81,1.3157
4/30/81,1.0756
5/29/81,1.0646
6/30/81,1.5158
7/31/81,1.1915
8/31/81,1.2804
9/30/81,1.2794
10/30/81,1.1685
11/30/81,1.103
12/31/81,0.8738
1/29/82,0.7306
2/26/82,0.9176
3/31/82,1.1077
4/30/82,1.129
5/28/82,0.9592
6/30/82,1.071
7/30/82,1.021
8/31/82,0.8342
9/30/82,0.5118
10/29/82,0.5475
11/30/82,0.7201
12/31/82,0.6289
1/31/83,0.6864
2/28/83,0.6186
3/31/83,0.6326
4/29/83,0.6918
5/31/83,0.7584
6/30/83,0.6661
7/29/83,0.6917
8/31/83,0.8342
9/30/83,0.7607
10/31/83,0.7433
11/30/83,0.7199
12/30/83,0.7039
1/31/84,0.8083
2/29/84,0.7328
3/30/84,0.728
4/30/84,0.813
5/31/84,0.7898
6/29/84,0.7534
7/31/84,0.8755
8/31/84,0.7963
9/28/84,0.8293
10/31/84,0.9766
11/30/84,0.7334
12/31/84,0.6923
1/31/85,0.6474
2/28/85,0.6033
3/29/85,0.616
4/30/85,0.7565
5/31/85,0.6062
6/28/85,0.5546
7/31/85,0.6196
8/30/85,0.5792
9/30/85,0.6049
10/31/85,0.6021
11/29/85,0.6156
12/31/85,0.6139
1/31/86,0.4865
2/28/86,0.5296
3/31/86,0.5963
4/30/86,0.5341
5/30/86,0.4934
6/30/86,0.5246
7/31/86,0.5011
8/29/86,0.4614
9/30/86,0.4783
10/31/86,0.4209
11/28/86,0.3924
12/31/86,0.4767
1/30/87,0.4151
2/27/87,0.4309
3/31/87,0.5012
4/30/87,0.4285
5/29/87,0.376
6/30/87,0.5031
7/31/87,0.4058
8/31/87,0.4744
9/30/87,0.482
10/30/87,0.604
11/30/87,0.3366
12/31/87,0.2988
1/29/88,0.2762
2/29/88,0.4564
3/31/88,0.4402
4/29/88,0.4577
5/31/88,0.5051
6/30/88,0.4832
7/29/88,0.506
8/31/88,0.5957
9/30/88,0.6145
10/31/88,0.6074
11/30/88,0.5742
12/30/88,0.6306
1/31/89,0.5766
2/28/89,0.611
3/31/89,0.6213
4/28/89,0.681
5/31/89,0.8006
6/30/89,0.7147
7/31/89,0.704
8/31/89,0.6684
9/29/89,0.6387
10/31/89,0.682
11/30/89,0.634
12/29/89,0.5941
1/31/90,0.5852
2/28/90,0.5818
3/30/90,0.638
4/30/90,0.6829
5/31/90,0.6404
6/29/90,0.5898
7/31/90,0.6704
8/31/90,0.6154
9/28/90,0.5984
10/31/90,0.6559
11/30/90,0.5651
12/31/90,0.5989
1/31/91,0.4637
2/28/91,0.4767
3/28/91,0.4391
4/30/91,0.5335
5/31/91,0.4461
6/28/91,0.4171
7/31/91,0.484
8/30/91,0.461
9/30/91,0.4558
10/31/91,0.4246
11/29/91,0.3915
12/31/91,0.3792
1/31/92,0.3059
2/28/92,0.2828
3/31/92,0.3376
4/30/92,0.3303
5/29/92,0.2758
6/30/92,0.3201
7/31/92,0.2892
8/31/92,0.2605
9/30/92,0.2573
10/30/92,0.2286
11/30/92,0.2346
12/31/92,0.227
1/29/93,0.2335
2/26/93,0.2209
3/31/93,0.2538
4/30/93,0.2372
5/28/93,0.2168
6/30/93,0.2756
7/30/93,0.2402
8/31/93,0.253
9/30/93,0.2356
10/29/93,0.221
11/30/93,0.2477
12/31/93,0.2263
1/31/94,0.2503
2/28/94,0.212
3/31/94,0.2469
4/29/94,0.2711
5/31/94,0.315
6/30/94,0.3118
7/29/94,0.2751
8/31/94,0.3687
9/30/94,0.3659
10/31/94,0.384
11/30/94,0.3691
12/30/94,0.443
1/31/95,0.4156
2/28/95,0.3983
3/31/95,0.4134
4/28/95,0.445
5/31/95,0.5355
6/30/95,0.4714
7/31/95,0.4522
8/31/95,0.4637
9/29/95,0.4309
10/31/95,0.4714
11/30/95,0.4108
12/29/95,0.4882
1/31/96,0.4278
2/29/96,0.3908
3/29/96,0.3943
4/30/96,0.4579
5/31/96,0.3982
6/28/96,0.4
7/31/96,0.4497
8/30/96,0.4122
9/30/96,0.4375
10/31/96,0.4246
11/29/96,0.3941
12/31/96,0.4404
1/31/97,0.4014
2/28/97,0.3788
3/31/97,0.431
4/30/97,0.4313
5/30/97,0.4263
6/30/97,0.3744
7/31/97,0.4294
8/29/97,0.4058
9/30/97,0.4576
10/31/97,0.3911
11/28/97,0.3773
12/31/97,0.4629
1/30/98,0.4204
2/27/98,0.3847
3/31/98,0.4485
4/30/98,0.4308
5/29/98,0.3805
6/30/98,0.4021
7/31/98,0.3873
8/31/98,0.4012
9/30/98,0.3875
10/30/98,0.3353
11/30/98,0.3233
12/31/98,0.3779
1/29/99,0.3494
2/26/99,0.3372
3/31/99,0.4076
4/30/99,0.3784
5/28/99,0.3463
6/30/99,0.4098
7/30/99,0.3658
8/31/99,0.3876
9/30/99,0.3705
10/29/99,0.3581
11/30/99,0.3811
12/31/99,0.3764
1/31/00,0.4343
2/29/00,0.4295
3/31/00,0.4377
4/28/00,0.4595
5/31/00,0.4782
6/30/00,0.3744
7/31/00,0.4772
8/31/00,0.5002
9/29/00,0.5093
10/31/00,0.5217
11/30/00,0.4966
12/29/00,0.4909
1/31/01,0.5243
2/28/01,0.3653
3/30/01,0.432
4/30/01,0.3864
5/31/01,0.3183
6/29/01,0.2778
7/31/01,0.2999
8/31/01,0.2996
9/28/01,0.273
10/31/01,0.2154
11/30/01,0.1749
12/31/01,0.1484
1/31/02,0.139
2/28/02,0.1285
3/28/02,0.1341
4/30/02,0.1546
5/31/02,0.1442
6/28/02,0.1312
7/31/02,0.1507
8/30/02,0.1402
9/30/02,0.1414
10/31/02,0.1334
11/29/02,0.1166
12/31/02,0.1079
1/31/03,0.0934
2/28/03,0.0871
3/31/03,0.102
4/30/03,0.0939
5/30/03,0.0903
6/30/03,0.0984
7/31/03,0.0674
8/29/03,0.0689
9/30/03,0.0865
10/31/03,0.07
11/28/03,0.0725
12/31/03,0.0831
1/30/04,0.0696
2/27/04,0.0623
3/31/04,0.0844
4/30/04,0.0795
5/28/04,0.0603
6/30/04,0.0817
7/30/04,0.0919
8/31/04,0.1116
9/30/04,0.1185
10/29/04,0.1129
11/30/04,0.1541
12/31/04,0.1672
1/31/05,0.1661
2/28/05,0.1641
3/31/05,0.2123
4/29/05,0.2072
5/31/05,0.2395
6/30/05,0.2263
7/29/05,0.2383
8/31/05,0.292
9/30/05,0.2848
10/31/05,0.2728
11/30/05,0.3045
12/30/05,0.316
1/31/06,0.3488
2/28/06,0.3322
3/31/06,0.3642
4/28/06,0.3559
5/31/06,0.4195
6/30/06,0.397
7/31/06,0.3976
8/31/06,0.4283
9/29/06,0.4047
10/31/06,0.4076
11/30/06,0.4243
12/29/06,0.4036
1/31/07,0.4328
2/28/07,0.3837
3/30/07,0.4257
4/30/07,0.4348
5/31/07,0.4046
6/29/07,0.3918
7/31/07,0.3962
8/31/07,0.4205
9/28/07,0.3347
10/31/07,0.3212
11/30/07,0.3395
12/31/07,0.2921
1/31/08,0.243
2/29/08,0.1325
3/31/08,0.1869
4/30/08,0.1025
5/30/08,0.0946
6/30/08,0.175
7/31/08,0.144
8/29/08,0.1282
9/30/08,0.153
10/31/08,0.0792
11/28/08,0.0228
12/31/08,0.0029
1/30/09,0.0023
2/27/09,0.0147
3/31/09,0.0159
4/30/09,0.0125
5/29/09,0.0017
6/30/09,0.0075
7/31/09,0.0119
8/31/09,0.0116
9/30/09,0.0079
10/30/09,0.004
11/30/09,0.0004
12/31/09,0.0062
1/29/10,0.0028
2/26/10,0.001
3/31/10,0.0068
4/30/10,0.0111
5/28/10,0.0112
6/30/10,0.0127
7/30/10,0.0142
8/31/10,0.0126
9/30/10,0.0125
10/29/10,0.0112
11/30/10,0.0114
12/31/10,0.014
1/31/11,0.0066
2/28/11,0.0122
3/31/11,0.0067
4/29/11,0.0053
5/31/11,0.0013
6/30/11,0.0035
7/29/11,-0.0028
8/31/11,0.0083
9/30/11,-0.0001
10/31/11,0.0014
11/30/11,0.0004
12/30/11,0
1/31/12,-0.0002
2/29/12,0.0031
3/30/12,0.0046
4/30/12,0.0029
5/31/12,0.0065
6/29/12,0.0022
7/31/12,0.0032
8/31/12,0.005
9/28/12,0.0067
10/31/12,0.0037
11/30/12,0.0085
12/31/12,0.0103
1/31/13,0.0022
2/28/13,0.0054
3/28/13,0.0041
4/30/13,0.0037
5/31/13,0.0012
6/28/13,0.0013
7/31/13,0.0009
8/30/13,0.0009
9/30/13,0.0008
10/31/13,0.0017
11/29/13,0.0032
12/31/13,0.0023
1/31/14,0.0012
2/28/14,0.0045
3/31/14,0.0028
4/30/14,0.0015
5/30/14,0.0008
6/30/14,0.002
7/31/14,0.0013
8/29/14,0.0003
9/30/14,0.0004
10/31/14,0.0012
11/28/14,-0.0001
12/31/14,0.0005
1/30/15,0.0013
2/27/15,-0.0021
3/31/15,-0.0008
4/30/15,0.0029
5/29/15,-0.0005
6/30/15,0.0004
7/31/15,-0.0037
8/31/15,0.0027
9/30/15,-0.0006
10/30/15,-0.0027
11/30/15,0.002
12/31/15,0.0103
1/29/16,0.0037
2/29/16,0.0205
3/31/16,0.019
4/29/16,0.0051
5/31/16,0.0115
6/30/16,0.0188
7/29/16,0.0171
8/31/16,0.0165
9/30/16,0.0219
10/31/16,0.0168
11/30/16,0.0136
12/30/16,0.0239
1/31/17,0.0358
2/28/17,0.0364
3/31/17,0.0353
4/28/17,0.0537
5/31/17,0.0614
6/30/17,0.0617
7/31/17,0.0722
8/31/17,0.0827
9/29/17,0.0944
10/31/17,0.084
11/30/17,0.0826
12/29/17,0.0884
1/31/18,0.1121
2/28/18,0.1073
3/29/18,0.0261
4/30/18,0.1433
5/31/18,0.1401
6/29/18,0.1408
7/31/18,0.1558
8/31/18,0.1575
9/28/18,0.149
10/31/18,0.189
11/30/18,0.1795
12/31/18,0.193
1/31/19,0.192
2/28/19,0.1809
3/29/19,0.1935
4/30/19,0.2125
5/31/19,0.1983
6/28/19,0.1853
7/31/19,0.1783
8/30/19,0.1908
9/30/19,0.1787
10/31/19,0.1531
11/29/19,0.1197
12/31/19,0.1431
1/31/20,0.1164
2/28/20,0.1208
3/31/20,0.1268
4/30/20,0.0003
5/29/20,0.0059
6/30/20,0.0111
7/31/20,0.0096
8/31/20,0.0079
9/30/20,0.0076
10/30/20,0.0073
11/30/20,0.0066
12/31/20,0.006